celltype,Lineage_level,Fibronectin,EpCAM,CD31,FABP4,CD138,CD45,CD3,CD20,CD68,CD56,CD11c,CD123,CD15,CD4,CD8
Fibroblast,1_0_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epithelial,1_0_2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Endothelial,1_0_3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Adipose,1_0_4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Plasma,1_0_5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immune,1_0_6,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tcell,2_6_7,0,0,0,0,0,NA,1,0,0,0,0,0,0,NA,NA
Bcell,2_6_8,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0
Macrophage_monocyte,2_6_9,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0
NK,2_6_10,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0
Granulocytes,2_6_11,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0
cDC,2_6_12,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0
pDC,2_6_13,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0
CD4_Tcell,3_7_14,0,0,0,0,0,NA,NA,0,0,0,0,0,0,1,0
CD8_Tcell,3_7_15,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1
