celltype,Lineage_level,CD8,CD4,CD45RA,PD-1,TCF7,FOXP3
CD8+_T,1_0_1,1,0,NA,NA,NA,0
CD4+_T,1_0_2,0,1,NA,NA,NA,NA
CD8+_TCF1+,2_1_3,NA,0,NA,NA,1,NA
CD8+_TCF1-,2_1_4,NA,0,NA,NA,0,NA
CD8+_TCF1+_CD45RA+,3_3_5,NA,0,1,0,NA,0
CD8+_TCF1+_CD45RA-,3_3_6,NA,0,0,NA,NA,0
CD8+_TCF1+_CD45RA-_PD1+,4_6_7,NA,0,0,1,1,0
CD8+_TCF1+_CD45RA-_PD1-,4_6_8,NA,0,0,0,NA,0
CD4+_FOXP3+,5_2_9,0,NA,NA,NA,NA,1
CD4+_FOXP3-,5_2_10,0,NA,NA,NA,NA,0
CD4+_FOXP3-_TCF1+,6_10_11,0,NA,NA,NA,1,0
CD4+_FOXP3-_TCF1-,6_10_12,0,NA,NA,NA,0,NA
CD4+_TCF1+_CD45RA+,7_11_13,0,NA,1,0,NA,0
CD4+_TCF1+_CD45RA-,7_11_14,0,NA,0,NA,NA,NA
